run_id,lambda_acf,lambda_freq,lambda_motif,lambda_cp,lambda_per,mse,acf_dev,spec_dev
acf0p8_freq0p08_mot0p05_cp0p01_per0p01,0.8,0.08,0.05,0.01,0.01,0.159783,0.007917,5.921333
acf0p8_freq0p08_mot0p05_cp0p01_per0p02,0.8,0.08,0.05,0.01,0.02,0.144177,0.009183,4.836395
acf0p8_freq0p08_mot0p05_cp0p02_per0p01,0.8,0.08,0.05,0.02,0.01,0.152568,0.009188,4.734139
acf0p8_freq0p08_mot0p05_cp0p02_per0p02,0.8,0.08,0.05,0.02,0.02,0.157892,0.009134,5.270713
acf0p8_freq0p08_mot0p1_cp0p01_per0p01,0.8,0.08,0.1,0.01,0.01,0.13665,0.014778,5.421783
acf0p8_freq0p08_mot0p1_cp0p01_per0p02,0.8,0.08,0.1,0.01,0.02,0.167155,0.0202,4.856863
acf0p8_freq0p08_mot0p1_cp0p02_per0p01,0.8,0.08,0.1,0.02,0.01,0.127914,0.007497,4.737683
acf0p8_freq0p08_mot0p1_cp0p02_per0p02,0.8,0.08,0.1,0.02,0.02,0.139032,0.008236,5.295491
acf0p8_freq0p12_mot0p02_cp0p01_per0p01,0.8,0.12,0.02,0.01,0.01,0.207671,0.024309,4.892685
acf0p8_freq0p12_mot0p02_cp0p01_per0p02,0.8,0.12,0.02,0.01,0.02,0.127026,0.00619,5.086094
acf0p8_freq0p12_mot0p02_cp0p02_per0p01,0.8,0.12,0.02,0.02,0.01,0.197547,0.015618,5.545213
acf0p8_freq0p12_mot0p02_cp0p02_per0p02,0.8,0.12,0.02,0.02,0.02,0.150103,0.011376,6.119493
acf0p8_freq0p12_mot0p05_cp0p01_per0p01,0.8,0.12,0.05,0.01,0.01,0.144603,0.009311,4.733226
acf0p8_freq0p12_mot0p05_cp0p01_per0p02,0.8,0.12,0.05,0.01,0.02,0.145886,0.010048,4.933313
acf0p8_freq0p12_mot0p05_cp0p02_per0p01,0.8,0.12,0.05,0.02,0.01,0.176782,0.011442,5.704278
acf0p8_freq0p12_mot0p05_cp0p02_per0p02,0.8,0.12,0.05,0.02,0.02,0.145334,0.008791,5.141561
acf0p8_freq0p12_mot0p1_cp0p01_per0p01,0.8,0.12,0.1,0.01,0.01,0.179357,0.01326,5.263209
acf0p8_freq0p12_mot0p1_cp0p01_per0p02,0.8,0.12,0.1,0.01,0.02,0.222204,0.020013,4.887122
acf0p8_freq0p12_mot0p1_cp0p02_per0p01,0.8,0.12,0.1,0.02,0.01,0.162714,0.007255,5.990454
acf0p8_freq0p12_mot0p1_cp0p02_per0p02,0.8,0.12,0.1,0.02,0.02,0.125502,0.00811,5.833162
acf0p8_freq0p2_mot0p02_cp0p01_per0p01,0.8,0.2,0.02,0.01,0.01,0.22995,0.015851,5.734101
